year,issue_of_writ,close_of_rolls,close_of_nominations,polling_day
1984,26-Oct-1984,02-Nov-1984,06-Nov-1984,01-Dec-1984
1987,05-Jun-1987,12-Jun-1987,18-Jun-1987,11-Jul-1987
1990,19-Feb-1990,26-Feb-1990,02-Mar-1990,24-Mar-1990
1993,08-Feb-1993,15-Feb-1993,19-Feb-1993,13-Mar-1993
1996,29-Jan-1996,05-Feb-1996,09-Feb-1996,02-Mar-1996
1998,31-Aug-1998,07-Sep-1998,10-Sep-1998,03-Oct-1998
2001,08-Oct-2001,15-Oct-2001,18-Oct-2001,10-Nov-2001
2004,31-Aug-2004,07-Sep-2004,16-Sep-2004,09-Oct-2004
2007,17-Oct-2007,23-Oct-2007,01-Nov-2007,24-Nov-2007
2010,19-Jul-2010,26-Jul-2010,29-Jul-2010,21-Aug-2010
2013,05-Aug-2013,12-Aug-2013,15-Aug-2013,07-Sep-2013
2016,16-May-2016,23-May-2016,09-Jun-2016,02-Jul-2016
2019,11-Apr-2019,18-Apr-2019,23-Apr-2019,18-May-2019
2022,11-Apr-2022,18-Apr-2022,21-Apr-2022,21-May-2022
