bin_start,bin_end,bin_centre
13-Jun-2006,14-Sep-2006,30-Jul-2006
14-Sep-2006,19-Jan-2007,16-Nov-2006
19-Jan-2007,28-Jul-2007,24-Apr-2007
28-Jul-2007,07-Apr-2008,02-Dec-2007
07-Apr-2008,14-Oct-2008,11-Jul-2008
14-Oct-2008,18-Feb-2009,17-Dec-2008
18-Feb-2009,25-Jun-2009,23-Apr-2009
25-Jun-2009,02-Jan-2010,29-Sep-2009
02-Jan-2010,11-Jul-2010,07-Apr-2010
11-Jul-2010,18-Jan-2011,14-Oct-2010
18-Jan-2011,27-Jul-2011,23-Apr-2011
27-Jul-2011,06-Apr-2012,01-Dec-2011
06-Apr-2012,16-Dec-2012,11-Aug-2012
16-Dec-2012,22-Apr-2013,17-Feb-2013
22-Apr-2013,27-Aug-2013,24-Jun-2013
27-Aug-2013,01-Jan-2014,29-Oct-2013
01-Jan-2014,08-May-2014,05-Mar-2014
08-May-2014,17-Jan-2015,12-Sep-2014
17-Jan-2015,26-Jul-2015,22-Apr-2015
26-Jul-2015,08-Jun-2016,01-Jan-2016
08-Jun-2016,15-Dec-2016,11-Sep-2016
15-Dec-2016,23-Jun-2017,20-Mar-2017
23-Jun-2017,31-Dec-2017,27-Sep-2017
31-Dec-2017,16-Jan-2019,09-Jul-2018
16-Jan-2019,23-May-2019,20-Mar-2019
23-May-2019,27-Sep-2019,25-Jul-2019
27-Sep-2019,01-Feb-2020,29-Nov-2019
01-Feb-2020,12-Oct-2020,07-Jun-2020
12-Oct-2020,20-Apr-2021,15-Jan-2021
20-Apr-2021,30-Dec-2021,25-Aug-2021
30-Dec-2021,06-May-2022,03-Mar-2022
06-May-2022,10-Sep-2022,08-Jul-2022
10-Sep-2022,20-Jun-2023,29-Jan-2023
